"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_physical_state","ros_latitude","ros_longitude","LIBNAME","STABR","LOCALE_TOP_LEVEL_DESCR","LATITUDE","LONGITUD","POPU_LSA"
"43",NA,"CO0046",NA,NA,NA,NA,NA,"POUDRE RIVER PUBLIC LIBRARY DISTRICT","CO","City",40.58419956,-105.0737265,207967
"44",NA,"CO0049",NA,NA,NA,NA,NA,"GARFIELD COUNTY PUBLIC LIBRARY DISTRICT","CO","Town",39.53075801,-107.7820553,60168
"45",NA,"CO0051",999,NA,NA,NA,NA,"GRAND COUNTY LIBRARY DISTRICT","CO","Rural",40.08632688,-105.9383987,15718
"46",NA,"CO0060",999,NA,NA,NA,NA,"JEFFERSON COUNTY PUBLIC LIBRARY","CO","City",39.74742751,-105.1132755,583081
"47",NA,"CO0094",NA,NA,NA,NA,NA,"PARK COUNTY PUBLIC LIBRARY","CO","Rural",39.22461702,-106.0035905,18844
"48",NA,"CO0103",NA,NA,NA,NA,NA,"SOUTH ROUTT LIBRARY DISTRICT","CO","Rural",40.27491773,-106.9540926,3447
"49",NA,"CO0108",NA,NA,NA,NA,NA,"NORTHERN SAGUACHE COUNTY LIBRARY DISTRICT","CO","Rural",38.08460058,-106.1410913,3282
"50",NA,"CO0143",NA,NA,NA,NA,NA,"CLEAR CREEK COUNTY LIBRARY DISTRICT","CO","Rural",39.70764662,-105.6956775,9740
"51",NA,"CO0144",NA,NA,NA,NA,NA,"DELTA COUNTY PUBLIC LIBRARY DISTRICT","CO","Rural",38.79987762,-107.7206628,31273
"52",NA,"CO0145",NA,NA,NA,NA,NA,"HIGH PLAINS LIBRARY DISTRICT","CO","City",40.391121,-104.7243073,302022
"53",NA,"CO0147",NA,NA,NA,NA,NA,"SOUTHWEST LA PLATA LIBRARY DISTRICT","CO","Rural",37.12200865,-107.8629988,4485
"54",NA,"DE0046",999,NA,NA,NA,NA,"DEPARTMENT OF COMMUNITY SERVICES","DE","Suburban",39.68761621,-75.61248512,457512
"55",NA,"FL0004",NA,NA,NA,NA,NA,"NORTHWEST REGIONAL LIBRARY SYSTEM","FL","City",30.16799679,-85.67281277,197709
"56",NA,"FL0018",NA,NA,NA,NA,NA,"CITRUS COUNTY LIBRARY SYSTEM","FL","Suburban",28.91036234,-82.44211582,149383
"57",NA,"FL0035",NA,NA,NA,NA,NA,"HILLSBOROUGH COUNTY PUBLIC LIBRARY COOPERATIVE","FL","City",27.95121692,-82.46164775,1478759
"58",NA,"FL0042",NA,NA,NA,NA,NA,"LEE COUNTY LIBRARY SYSTEM","FL","City",26.63862287,-81.86548689,750493
"59",NA,"FL0048",NA,NA,NA,NA,NA,"MONROE COUNTY PUBLIC LIBRARY SYSTEM","FL","Town",24.55752808,-81.80002087,77823
"60",NA,"FL0056",NA,NA,NA,NA,NA,"BOCA RATON PUBLIC LIBRARY","FL","City",26.38667749,-80.11422896,95139
"61",NA,"FL0065",NA,NA,NA,NA,NA,"PASCO COUNTY PUBLIC LIBRARY COOPERATIVE","FL","Suburban",28.35454082,-82.68228509,542795
"62",NA,"FL0091",NA,NA,NA,NA,NA,"ST. JOHNS COUNTY PUBLIC LIBRARY SYSTEM","FL","Rural",29.75874589,-81.3131442,261900
"63",NA,"FL0092",NA,NA,NA,NA,NA,"ST. LUCIE COUNTY LIBRARY SYSTEM","FL","Suburban",27.44840948,-80.32179656,322265
"64",NA,"FL0093",NA,NA,NA,NA,NA,"SARASOTA COUNTY PUBLIC LIBRARIES","FL","City",27.33441744,-82.53692763,438816
"65",NA,"FL0101",NA,NA,NA,NA,NA,"WALTON COUNTY PUBLIC LIBRARY SYSTEM","FL","Town",30.71838521,-86.11597011,74724
"66",NA,"FL0127",999,NA,NA,NA,NA,"PINELLAS PUBLIC LIBRARY COOPERATIVE","FL","City",27.96567747,-82.78180401,960262
"67",NA,"FL0135",999,NA,NA,NA,NA,"WILDERNESS COAST PUBLIC LIBRARIES","FL","Rural",30.54502985,-83.88063128,60239
"68",NA,"FL0136",999,NA,NA,NA,NA,"PANHANDLE PUBLIC LIBRARY COOPERATIVE SYSTEM","FL","Town",30.77389034,-85.22194458,81077
"69",NA,"FL0146",NA,NA,NA,NA,NA,"SUMTER COUNTY LIBRARY SYSTEM","FL","Rural",28.86311565,-82.02050039,141422
"70",NA,"FL0147",999,NA,NA,NA,NA,"THREE RIVERS REGIONAL LIBRARY SYSTEM","FL","Rural",30.05299746,-83.17861605,66058
"71",NA,"FL0150",NA,NA,NA,NA,NA,"HEARTLAND LIBRARY COOPERATIVE","FL","City",27.49495595,-81.44379301,225080
"72",NA,"FL0259",NA,NA,NA,NA,NA,"PAL PUBLIC LIBRARY COOPERATIVE","FL","Rural",29.46332772,-82.64161207,387010
"73",NA,"FL8001",NA,NA,NA,NA,NA,"POLK COUNTY LIBRARY COOPERATIVE","FL","Suburban",27.87345,-81.8431425,715090
"74",NA,"FL8003",999,NA,NA,NA,NA,"OKALOOSA COUNTY PUBLIC LIBRARY COOPERATIVE","FL","Suburban",30.52277263,-86.47646728,203951
"75",NA,"GA0007",999,NA,NA,NA,NA,"WEST GEORGIA REGIONAL LIBRARY","GA","Town",33.58540198,-85.07445745,487659
"76",NA,"GA0017",999,NA,NA,NA,NA,"DEKALB COUNTY PUBLIC LIBRARY","GA","Suburban",33.77145662,-84.2441329,793154
"77",NA,"GA0029",NA,NA,NA,NA,NA,"HOUSTON COUNTY PUBLIC LIBRARY","GA","Suburban",32.46122042,-83.73330902,157039
"78",NA,"HI0001",999,NA,NA,NA,NA,"HAWAII STATE PUBLIC LIBRARY SYSTEM","HI","City",21.309431,-157.8631567,1415872
"79",NA,"ID0006",NA,NA,NA,NA,NA,"ADA COUNTY DISTRICT","ID","Suburban",43.57573752,-116.314607,61201
"80",NA,"ID0062",NA,NA,NA,NA,NA,"JEFFERSON COUNTY DISTRICT","ID","Rural",43.7173624,-112.0032887,6529
"81",NA,"ID0112",NA,NA,NA,NA,NA,"BENEWAH DISTRICT","ID","City",47.69485745,-116.7887253,6479
"82",NA,"ID0120",NA,NA,NA,NA,NA,"COMMUNITY LIBRARY NETWORK","ID","Suburban",47.71641998,-116.9481075,120457
"83",NA,"IN0210",999,NA,NA,NA,NA,"INDIANAPOLIS PUBLIC LIBRARY","IN","City",39.77796752,-86.15677397,877389
"84",NA,"KS0130",NA,NA,NA,NA,NA,"OLATHE PUBLIC LIBRARY","KS","Suburban",38.88375746,-94.77103197,140545
"85",NA,"KS0133",NA,NA,NA,NA,NA,"KANSAS CITY, KANSAS PUBLIC LIBRARY","KS","City",39.11550124,-94.62516347,157525
"86",NA,"LA0037",NA,NA,NA,NA,NA,"ASCENSION PARISH","LA","Town",30.10568904,-90.98573541,128665
"87",NA,"MD0002",999,NA,NA,NA,NA,"ANNE ARUNDEL COUNTY PUBLIC LIBRARY","MD","Suburban",38.980759,-76.56860697,573235
"88",NA,"MD0007",999,NA,NA,NA,NA,"CARROLL COUNTY PUBLIC LIBRARY","MD","Rural",39.54474559,-77.10778345,167781
"89",NA,"MD0009",NA,NA,NA,NA,NA,"CHARLES COUNTY PUBLIC LIBRARY","MD","Suburban",38.53053291,-76.97178869,159700
"90",NA,"MD0013",999,NA,NA,NA,NA,"HARFORD COUNTY PUBLIC LIBRARY","MD","Suburban",39.47752884,-76.23569546,252160
"91",NA,"MD0014",999,NA,NA,NA,NA,"HOWARD COUNTY LIBRARY SYSTEM","MD","Suburban",39.2732197,-76.838289,321113
"92",NA,"MD0016",999,NA,NA,NA,NA,"MONTGOMERY COUNTY PUBLIC LIBRARIES","MD","City",39.08662009,-77.15108897,1058810
"93",NA,"MD0017",999,NA,NA,NA,NA,"PRINCE GEORGE`S COUNTY MEMORIAL LIBRARY SYSTE","MD","Suburban",38.89147233,-76.83867499,912756
"94",NA,"MD0018",NA,NA,NA,NA,NA,"QUEEN ANNE`S COUNTY FREE LIBRARY","MD","Town",39.04359411,-76.06582647,49770
"95",NA,"MD0019",NA,NA,NA,NA,NA,"ST. MARY`S COUNTY LIBRARY","MD","Rural",38.31537164,-76.63547574,112667
"96",NA,"MD0024",NA,NA,NA,NA,NA,"WORCESTER COUNTY LIBRARY","MD","Rural",38.17841515,-75.39402649,51690
"97",NA,"MI0190",999,NA,NA,NA,NA,"LAPEER DISTRICT LIBRARY","MI","Rural",43.05045772,-83.33356202,60006
"98",NA,"MI0233",999,NA,NA,NA,NA,"MONROE COUNTY LIBRARY SYSTEM","MI","City",41.91272418,-83.41436219,149955
"99",NA,"MI0240",NA,NA,NA,NA,NA,"MUSKEGON AREA DISTRICT LIBRARY","MI","Suburban",43.16450978,-86.19462195,105852
"100",NA,"MI0279",999,NA,NA,NA,NA,"PRESQUE ISLE DISTRICT LIBRARY","MI","Town",45.41991908,-83.81462958,14878
"101",NA,"MI0310",NA,NA,NA,NA,NA,"COMMUNITY DISTRICT LIBRARY","MI","Town",42.98185273,-84.11633781,28263
"102",NA,"MN0035",999,NA,NA,NA,NA,"ANOKA COUNTY LIBRARY","MN","Suburban",45.12664714,-93.25300736,341518
"103",NA,"MN0038",999,NA,NA,NA,NA,"CARVER COUNTY LIBRARY SYSTEM","MN","Suburban",44.78723633,-93.60196997,105089
"104",NA,"MN0039",NA,NA,NA,NA,NA,"DAKOTA COUNTY LIBRARY","MN","City",44.81772845,-93.16342007,436983
"105",NA,"MN0041",NA,NA,NA,NA,NA,"HENNEPIN COUNTY LIBRARY","MN","City",44.96560262,-93.44016243,1279981
"106",NA,"MN0043",NA,NA,NA,NA,NA,"RAMSEY COUNTY LIBRARY","MN","Suburban",45.07983446,-93.13553432,242323
"107",NA,"MN0044",999,NA,NA,NA,NA,"SAINT PAUL PUBLIC LIBRARY","MN","City",44.94411251,-93.09734704,315925
"108",NA,"MN0045",NA,NA,NA,NA,NA,"SCOTT COUNTY LIBRARY","MN","Suburban",44.77578499,-93.50817253,147081
"109",NA,"MN0046",NA,NA,NA,NA,NA,"WASHINGTON COUNTY LIBRARY","MN","Suburban",44.91740353,-92.93191752,239173
"110",NA,"MN0050",999,NA,NA,NA,NA,"NORTHWEST REGIONAL LIBRARY","MN","Town",48.11851321,-96.17996678,47268
"111",NA,"MN9030",999,NA,NA,NA,NA,"SIBLEY COUNTY LIBRARY","MN","Rural",44.55567747,-94.22071996,14899
"112",NA,"MO0014",999,NA,NA,NA,NA,"KANSAS CITY PUBLIC LIBRARY","MO","City",39.10312515,-94.58412676,218765
"113",NA,"MO0030",999,NA,NA,NA,NA,"CITY OF ST. LOUIS MUNICIPAL LIBRARY DISTRICT","MO","City",38.63043887,-90.20088367,319294
"114",NA,"MO0039",NA,NA,NA,NA,NA,"BOONSLICK REGIONAL LIBRARY","MO","Town",38.70865959,-93.22991689,58748
"115",NA,"MO0040",NA,NA,NA,NA,NA,"CASS COUNTY PUBLIC LIBRARY","MO","Town",38.65310144,-94.34606353,99478
"116",NA,"MO0045",NA,NA,NA,NA,NA,"TRAILS REGIONAL LIBRARY","MO","Town",38.76722738,-93.7402681,81482
"117",NA,"MO0059",NA,NA,NA,NA,NA,"NORTHEAST MISSOURI LIBRARY SERVICE","MO","Rural",40.422422,-91.72094281,19104
"118",NA,"MO0137",NA,NA,NA,NA,NA,"REYNOLDS COUNTY LIBRARY DISTRICT","MO","Rural",37.43486996,-90.95872037,6696
"119",NA,"MO0147",999,NA,NA,NA,NA,"JEFFERSON COUNTY LIBRARY DISTRICT","MO","Suburban",38.45567255,-90.53591514,131842
"120",NA,"MO0164",NA,NA,NA,NA,NA,"OREGON COUNTY LIBRARY DISTRICT","MO","Rural",36.69446394,-91.39764232,10881
"121",NA,"MO0174",NA,NA,NA,NA,NA,"HEARTLAND REGIONAL LIBRARY SYSTEM","MO","Rural",38.18501068,-91.94753476,33924
"122",NA,"MO0175",999,NA,NA,NA,NA,"MISSOURI RIVER REGIONAL LIBRARY","MO","City",38.57483228,-92.16947077,89868
"123",NA,"MO0199",NA,NA,NA,NA,NA,"PULASKI COUNTY LIBRARY","MO","Town",37.82562261,-92.2098143,50781
"124",NA,"MP0001",999,NA,NA,NA,NA,"JOETEN-KIYU PUBLIC LIBRARY","MP","Town",15.15775645,145.7046133,53883
"125",NA,"MS0006",999,NA,NA,NA,NA,"CENTRAL MISSISSIPPI REGIONAL LIBRARY","MS","Suburban",32.27425236,-89.98687165,225979
"126",NA,"MS0041",NA,NA,NA,NA,NA,"PINE FOREST REGIONAL LIBRARY","MS","Rural",31.35041226,-88.93583036,43895
"127",NA,"NC0002",999,NA,NA,NA,NA,"APPALACHIAN REGIONAL LIBRARY","NC","Rural",36.40056693,-81.4936672,154918
"128",NA,"NC0003",999,NA,NA,NA,NA,"AVERY-MITCHELL-YANCEY REGIONAL LIBRARY","NC","Rural",35.91571549,-82.26214789,51960
"129",NA,"NC0006",NA,NA,NA,NA,NA,"CRAVEN-PAMLICO-CARTERET REGIONAL LIBRARY","NC","City",35.1109579,-77.03963489,187261
"130",NA,"NC0008",NA,NA,NA,NA,NA,"FONTANA REGIONAL LIBRARY","NC","Rural",35.42611882,-83.4446902,95020
"131",NA,"NC0011",NA,NA,NA,NA,NA,"NANTAHALA REGIONAL LIBRARY","NC","Rural",35.08649104,-84.0319937,49721
"132",NA,"NC0013",999,NA,NA,NA,NA,"NORTHWESTERN REGIONAL LIBRARY","NC","Town",36.2440672,-80.85435973,169770
"133",NA,"NC0014",999,NA,NA,NA,NA,"PETTIGREW REGIONAL LIBRARY","NC","Town",35.86557213,-76.7477963,43767
"134",NA,"NC0015",999,NA,NA,NA,NA,"SANDHILL REGIONAL LIBRARY SYSTEM","NC","Town",34.93870807,-79.76984036,237852
"135",NA,"NC0018",NA,NA,NA,NA,NA,"BRUNSWICK COUNTY LIBRARY","NC","Town",33.91804724,-78.01998229,143169
"136",NA,"NC0040",NA,NA,NA,NA,NA,"IREDELL COUNTY LIBRARY","NC","Suburban",35.78769156,-80.88718619,138477
"137",NA,"NC0063",999,NA,NA,NA,NA,"WAKE COUNTY PUBLIC LIBRARIES","NC","City",35.77125029,-78.56928545,1085297
"138",NA,"NC0106",999,NA,NA,NA,NA,"LINCOLN COUNTY PUBLIC LIBRARY","NC","Town",35.47028841,-81.26038431,86909
"139",NA,"NC0108",999,NA,NA,NA,NA,"ORANGE COUNTY PUBLIC LIBRARY","NC","Suburban",36.0744513,-79.10065612,86257
"140",NA,"NJ0122",NA,NA,NA,NA,NA,"NEWARK PUBLIC LIBRARY","NJ","City",40.74422887,-74.17032889,277140
"141",NA,"NJ0181",999,NA,NA,NA,NA,"MONROE TWP PUBLIC LIBRARY/MIDDLESEX","NJ","Suburban",40.32657699,-74.44306479,39132
"142",NA,"NJ0306",NA,NA,NA,NA,NA,"WARREN COUNTY LIBRARY","NJ","Town",40.80449396,-75.07849299,72507
"143",NA,"NM0005",999,NA,NA,NA,NA,"BELEN PUBLIC LIBRARY","NM","Suburban",34.6599502,-106.771256,7269
"144",NA,"NV0008",999,NA,NA,NA,NA,"LAS VEGAS-CLARK COUNTY LIBRARY DISTRICT","NV","Suburban",36.04122753,-115.246287,1704216
"145",NA,"NV0012",NA,NA,NA,NA,NA,"HENDERSON DISTRICT PUBLIC LIBRARIES","NV","City",36.01755402,-115.079923,317660
"146",NA,"NV0025",NA,NA,NA,NA,NA,"WASHOE COUNTY LIBRARY SYSTEM","NV","City",39.52266464,-119.8101179,469801
"147",NA,"NV0027",NA,NA,NA,NA,NA,"ESMERALDA COUNTY LIBRARIES","NV","Rural",37.75435095,-117.6354153,982
"148",NA,"NY0041",NA,NA,NA,NA,NA,"SENECA NATION LIBRARY","NY","Town",42.15925845,-78.74690829,3179
"149",NA,"NY0689",NA,NA,NA,NA,NA,"SMITHTOWN SPECIAL LIBRARY DISTRICT","NY","Suburban",40.83667087,-73.15908312,113804
"150",NA,"NY0778",NA,NA,NA,NA,NA,"NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","NY","City",40.75151895,-73.98186523,3439711
"151",NA,"OH0046",999,NA,NA,NA,NA,"GEAUGA COUNTY PUBLIC LIBRARY","OH","Rural",41.50899191,-81.18311205,84057
"152",NA,"OH0053",NA,NA,NA,NA,NA,"CLEVELAND HEIGHTS-UNIVERSITY HEIGHTS PL","OH","Suburban",41.49593899,-81.56511251,57867
"153",NA,"OH0057",999,NA,NA,NA,NA,"COLUMBUS METROPOLITAN LIBRARY","OH","City",39.96104136,-82.99059655,850548
"154",NA,"OH0075",999,NA,NA,NA,NA,"PREBLE COUNTY DISTRICT LIBRARY","OH","Town",39.73872902,-84.63641249,39569
"155",NA,"OH0089",NA,NA,NA,NA,NA,"PORTAGE COUNTY DISTRICT LIBRARY","OH","Town",41.278217,-81.095176,106237
"156",NA,"OH0100",NA,NA,NA,NA,NA,"LANE PUBLIC LIBRARY","OH","Suburban",39.40288824,-84.55855265,187347
"157",NA,"OH0107",999,NA,NA,NA,NA,"BRIGGS LAWRENCE COUNTY PUBLIC LIBRARY","OH","Suburban",38.53389292,-82.68273494,62450
"158",NA,"OH0129",NA,NA,NA,NA,NA,"ADAMS COUNTY PUBLIC LIBRARY","OH","Rural",38.95061563,-83.40664564,28550
"159",NA,"OH0242",NA,NA,NA,NA,NA,"WILLOUGHBY-EASTLAKE PUBLIC LIBRARY","OH","Suburban",41.6374341,-81.47281225,65424
"160",NA,"OH0245",999,NA,NA,NA,NA,"WAYNE COUNTY PUBLIC LIBRARY","OH","Town",40.80085248,-81.94068807,103658
"161",NA,"OH0246",NA,NA,NA,NA,NA,"WORTHINGTON PUBLIC LIBRARY","OH","Suburban",40.09063933,-83.01797771,59689
"162",NA,"OH0247",NA,NA,NA,NA,NA,"GREENE COUNTY PUBLIC LIBRARY","OH","Suburban",39.68631924,-83.92874316,161573
"163",NA,"OK0024",999,NA,NA,NA,NA,"WESTERN PLAINS LIBRARY SYSTEM","OK","Town",35.50807395,-98.99371828,48393
"164",NA,"OK0066",999,NA,NA,NA,NA,"EASTERN OKLAHOMA LIBRARY SYSTEM","OK","Rural",35.77040748,-95.3542411,243022
"165",NA,"OK0070",NA,NA,NA,NA,NA,"PIONEER LIBRARY SYSTEM","OK","Suburban",35.21561602,-97.48982749,397080
"166",NA,"OR0063",999,NA,NA,NA,NA,"MULTNOMAH COUNTY LIBRARY","OR","City",45.529081,-122.6465375,821730
"167",NA,"OR0091",999,NA,NA,NA,NA,"DESCHUTES PUBLIC LIBRARY DISTRICT","OR","City",44.05609475,-121.3173309,193000
"168",NA,"OR0115",NA,NA,NA,NA,NA,"COOS COUNTY LIBRARY SERVICE DISTRICT","OR","Town",43.36721685,-124.2175269,63290
"169",NA,"OR0117",999,NA,NA,NA,NA,"WASHINGTON COUNTY COOPERATIVE LIBRARY SERVICES","OR","City",45.52394872,-122.9893252,613410
"170",NA,"PA0222",NA,NA,NA,NA,NA,"DAUPHIN COUNTY LIBRARY SYSTEM","PA","City",40.25963953,-76.88392344,234520
"171",NA,"PA0448",999,NA,NA,NA,NA,"LOWER MERION LIBRARY SYSTEM","PA","Suburban",40.00649386,-75.28822642,57837
"172",NA,"PA0529",NA,NA,NA,NA,NA,"BUTLER SYS ADMIN UNIT","PA","Town",40.8630009,-79.89360151,75218
"173",NA,"PA0532",999,NA,NA,NA,NA,"ALLEGHENY SYS ADMIN UNIT","PA","City",40.440793,-80.03475904,7504
"174",NA,"RI0053",NA,NA,NA,NA,NA,"PROVIDENCE COMMUNITY LIBRARY","RI","City",41.80213209,-71.41339219,178519
"175",NA,"SC0040",999,NA,NA,NA,NA,"YORK COUNTY LIBRARY SYSTEM","SC","City",34.92502306,-81.02823367,226073
"176",NA,"TN0135",999,NA,NA,NA,NA,"NASHVILLE PUBLIC LIBRARY","TN","City",36.16240693,-86.78187351,694144
"177",NA,"TX0109",999,NA,NA,NA,NA,"IRVING PUBLIC LIBRARY","TX","City",32.81373737,-96.95389279,239798
"178",NA,"TX0247",999,NA,NA,NA,NA,"FORT BEND COUNTY LIBRARIES","TX","Suburban",29.56257714,-95.75900954,769446
"179",NA,"TX0744",999,NA,NA,NA,NA,"BIBLIOTECH","TX","City",29.34413899,-98.50390752,85947
"180",NA,"UT0021",NA,NA,NA,NA,NA,"DUCHESNE COUNTY LIBRARY SYSTEM","UT","Rural",40.16185885,-110.4014349,19938
"181",NA,"UT0022",999,NA,NA,NA,NA,"EMERY COUNTY LIBRARY","UT","Town",39.21172323,-111.0183419,10012
"182",NA,"UT0025",NA,NA,NA,NA,NA,"IRON COUNTY BOOKMOBILE LIBRARY","UT","Town",37.76408052,-113.0431349,16910
"183",NA,"UT0049",NA,NA,NA,NA,NA,"SALT LAKE COUNTY LIBRARY","UT","Suburban",40.60518198,-111.9413475,910953
"184",NA,"UT0050",NA,NA,NA,NA,NA,"SAN JUAN COUNTY LIBRARY","UT","Town",37.62107273,-109.4784194,15308
"185",NA,"UT0069",NA,NA,NA,NA,NA,"WEBER COUNTY LIBRARY SYSTEM","UT","Suburban",41.19065595,-112.02918,260213
"186",NA,"VA0001",999,NA,NA,NA,NA,"ALEXANDRIA LIBRARY","VA","City",38.81192447,-77.11720303,160719
"187",NA,"VA0008",NA,NA,NA,NA,NA,"BLUE RIDGE REGIONAL LIBRARY","VA","Town",36.68908373,-79.86615933,83287
"188",NA,"VA0026",999,NA,NA,NA,NA,"FAIRFAX COUNTY PUBLIC LIBRARY","VA","Suburban",38.854103,-77.35654602,1167254
